ID,Age,Gender,Income,Debt_Ratio,Employment_Years,Loan_Amount,Loan_Approved
CLIENT_00001,60,Female,56313.74,0.457,4,21289.96,0
CLIENT_00002,50,Male,43785.37,0.07,22,29998.46,1
CLIENT_00003,36,Male,76023.1,0.376,14,44487.25,1
CLIENT_00004,64,Male,18000.0,0.227,5,35013.22,0
CLIENT_00005,29,Male,88761.14,0.477,32,14289.02,1
CLIENT_00006,42,Female,55639.81,0.847,18,42676.29,0
CLIENT_00007,60,Male,28739.76,0.69,12,20507.27,0
CLIENT_00008,40,Female,59679.78,0.727,28,6464.45,0
CLIENT_00009,44,Male,70948.43,0.558,5,22419.38,0
CLIENT_00010,32,Female,47286.94,0.083,14,46572.54,0
CLIENT_00011,32,Female,18000.0,0.215,15,27478.6,0
CLIENT_00012,45,Male,39123.06,0.79,23,25187.83,0
CLIENT_00013,57,Male,65787.9,0.343,22,49558.17,1
CLIENT_00014,61,Male,54933.29,0.133,9,5000.0,1
CLIENT_00015,45,Male,41869.86,0.612,16,5716.01,0
CLIENT_00016,24,Male,71166.32,0.29,29,5000.0,1
CLIENT_00017,43,Male,59786.12,0.265,9,30589.72,0
CLIENT_00018,23,Male,61326.78,0.848,18,27497.4,0
CLIENT_00019,45,Female,36787.31,0.737,28,48141.05,0
CLIENT_00020,65,Female,34852.33,0.376,1,28652.13,0
CLIENT_00021,51,Female,18000.0,0.834,18,18937.64,0
CLIENT_00022,59,Male,39812.16,0.57,6,25026.92,0
CLIENT_00023,23,Female,63707.84,0.644,25,26765.61,0
CLIENT_00024,42,Male,40918.13,0.075,14,5000.0,1
CLIENT_00025,54,Male,53910.78,0.147,2,65654.97,0
CLIENT_00026,33,Female,67223.99,0.556,15,32798.07,0
CLIENT_00027,43,Male,52456.66,0.769,1,28150.12,0
CLIENT_00028,65,Female,54410.3,0.549,30,34227.46,1
CLIENT_00029,46,Female,18000.0,0.157,27,35641.16,0
CLIENT_00030,48,Male,38548.7,0.143,6,22891.7,0
CLIENT_00031,63,Male,79532.53,0.725,29,15531.38,1
CLIENT_00032,49,Male,47075.94,0.161,6,33991.76,0
CLIENT_00033,37,Female,82934.76,0.466,28,30785.66,1
CLIENT_00034,36,Male,30537.69,0.08,23,12851.65,1
CLIENT_00035,68,Male,49678.95,0.115,3,46285.53,1
CLIENT_00036,65,Male,37346.43,0.588,28,29400.28,1
CLIENT_00037,24,Female,56839.69,0.601,4,35947.29,0
CLIENT_00038,58,Male,62900.17,0.323,28,45878.81,1
CLIENT_00039,28,Male,57049.32,0.222,29,25328.33,1
CLIENT_00040,42,Female,65837.04,0.701,28,29754.28,0
CLIENT_00041,30,Female,44736.54,0.224,25,37150.41,0
CLIENT_00042,60,Male,41189.43,0.484,18,14127.08,1
CLIENT_00043,39,Male,18000.0,0.825,25,25810.77,0
CLIENT_00044,25,Male,57769.02,0.168,26,26883.23,1
CLIENT_00045,46,Female,48443.68,0.803,29,10659.12,0
CLIENT_00046,35,Male,43641.71,0.196,29,59764.55,1
CLIENT_00047,30,Female,41183.65,0.504,2,5000.0,0
CLIENT_00048,47,Female,44262.41,0.352,6,5528.44,0
CLIENT_00049,23,Female,40275.28,0.822,8,44713.4,0
CLIENT_00050,41,Male,34439.32,0.269,12,35698.99,0
CLIENT_00051,49,Female,49791.78,0.37,14,9610.53,0
CLIENT_00052,68,Female,54683.18,0.836,4,34109.34,0
CLIENT_00053,28,Female,29588.64,0.479,28,47017.76,0
CLIENT_00054,65,Male,36985.29,0.452,34,24546.05,1
CLIENT_00055,29,Female,40907.56,0.256,26,63982.34,0
CLIENT_00056,68,Male,45096.27,0.611,26,5000.0,1
CLIENT_00057,56,Male,42436.29,0.061,7,35407.35,1
CLIENT_00058,35,Male,58194.42,0.09,31,42497.93,1
CLIENT_00059,38,Female,18000.0,0.529,19,38370.16,0
CLIENT_00060,57,Male,18000.0,0.323,9,21934.66,0
CLIENT_00061,61,Male,48871.39,0.813,12,20643.38,0
CLIENT_00062,25,Male,32946.28,0.773,28,31662.18,0
CLIENT_00063,23,Male,62684.85,0.621,34,37236.32,1
CLIENT_00064,27,Female,68396.02,0.705,7,34037.1,0
CLIENT_00065,63,Female,49674.94,0.584,28,40600.87,0
CLIENT_00066,25,Male,23560.5,0.15,30,9716.95,1
CLIENT_00067,50,Male,66091.87,0.662,29,21583.44,1
CLIENT_00068,39,Female,48978.05,0.218,21,10899.76,1
CLIENT_00069,47,Male,18000.0,0.309,20,19208.31,0
CLIENT_00070,65,Male,18000.0,0.705,11,40228.31,0
CLIENT_00071,55,Female,75338.94,0.479,10,26619.76,0
CLIENT_00072,31,Female,72022.72,0.738,1,64102.89,0
CLIENT_00073,57,Male,18000.0,0.22,1,27901.1,0
CLIENT_00074,35,Female,18000.0,0.536,33,25895.38,0
CLIENT_00075,52,Male,67817.11,0.117,2,26592.74,1
CLIENT_00076,69,Female,44630.15,0.564,15,15432.87,0
CLIENT_00077,36,Male,59036.99,0.66,3,24132.45,0
CLIENT_00078,29,Male,43760.95,0.518,22,41916.82,0
CLIENT_00079,35,Male,58089.85,0.263,19,26709.56,1
CLIENT_00080,44,Female,45116.67,0.075,24,13098.1,1
CLIENT_00081,61,Female,36247.83,0.146,29,11123.73,1
CLIENT_00082,42,Male,66174.88,0.548,17,18246.97,0
CLIENT_00083,37,Male,49041.09,0.798,10,26107.95,0
CLIENT_00084,66,Female,58047.77,0.215,28,42903.8,1
CLIENT_00085,39,Male,48148.96,0.638,16,5000.0,0
CLIENT_00086,68,Male,35272.86,0.743,25,20202.61,0
CLIENT_00087,45,Female,77167.79,0.467,22,27164.65,1
CLIENT_00088,47,Male,52099.37,0.585,19,5000.0,0
CLIENT_00089,46,Female,37899.03,0.702,1,12496.03,0
CLIENT_00090,66,Female,70566.59,0.259,23,14801.67,1
CLIENT_00091,62,Male,18583.52,0.288,30,13060.44,1
CLIENT_00092,50,Male,89725.67,0.051,26,27878.34,1
CLIENT_00093,36,Male,41417.0,0.82,1,22591.61,0
CLIENT_00094,66,Female,19639.72,0.784,13,16670.71,0
CLIENT_00095,22,Female,83118.83,0.662,3,31419.44,0
CLIENT_00096,46,Female,35736.65,0.113,12,50846.12,0
CLIENT_00097,28,Male,49864.89,0.408,34,49588.85,1
CLIENT_00098,30,Female,59353.81,0.132,7,5000.0,0
CLIENT_00099,45,Female,68683.45,0.063,1,33656.08,0
CLIENT_00100,22,Female,50995.49,0.543,5,22329.65,0
CLIENT_00101,65,Female,32053.69,0.819,30,27327.33,0
CLIENT_00102,29,Female,49379.85,0.772,9,19025.75,0
CLIENT_00103,45,Female,36613.69,0.607,20,26763.83,0
CLIENT_00104,32,Female,49980.23,0.127,9,27271.11,0
CLIENT_00105,38,Male,77562.99,0.269,22,16315.72,1
CLIENT_00106,29,Male,60118.5,0.306,2,11554.49,0
CLIENT_00107,56,Female,49132.93,0.661,31,18269.56,0
CLIENT_00108,56,Male,59769.82,0.692,19,28513.89,0
CLIENT_00109,54,Female,61201.61,0.358,9,33984.95,0
CLIENT_00110,26,Female,23442.52,0.384,28,37800.23,0
CLIENT_00111,63,Female,45834.45,0.086,33,17587.15,1
CLIENT_00112,60,Male,96250.55,0.281,19,29257.67,1
CLIENT_00113,62,Male,69256.42,0.411,7,39437.54,0
CLIENT_00114,49,Male,34931.29,0.144,6,42483.92,0
CLIENT_00115,28,Female,32935.84,0.413,5,24117.51,0
CLIENT_00116,30,Female,32269.49,0.733,10,21686.02,0
CLIENT_00117,29,Female,62326.4,0.515,17,27866.86,0
CLIENT_00118,33,Male,77152.82,0.113,28,7754.39,1
CLIENT_00119,55,Female,56643.34,0.203,24,22095.86,1
CLIENT_00120,54,Female,48143.25,0.43,20,36168.8,0
CLIENT_00121,69,Male,36116.89,0.339,2,34629.21,0
CLIENT_00122,44,Female,51587.46,0.337,17,20945.99,0
CLIENT_00123,45,Male,28597.57,0.473,23,28265.77,1
CLIENT_00124,58,Male,18000.0,0.518,9,12630.24,0
CLIENT_00125,56,Female,77736.51,0.687,26,35552.38,1
CLIENT_00126,65,Male,24883.75,0.323,11,23832.68,0
CLIENT_00127,61,Female,38503.35,0.694,6,20860.73,0
CLIENT_00128,43,Female,58127.15,0.321,16,19574.14,0
CLIENT_00129,48,Female,73689.34,0.094,0,24056.59,0
CLIENT_00130,56,Male,50142.61,0.493,25,18281.84,1
CLIENT_00131,22,Female,21125.78,0.52,14,34872.15,0
CLIENT_00132,56,Female,38973.07,0.798,32,19070.75,0
CLIENT_00133,58,Female,31430.29,0.631,30,48894.46,0
CLIENT_00134,68,Male,44235.78,0.784,34,46978.16,1
CLIENT_00135,35,Male,69639.69,0.777,0,11626.85,0
CLIENT_00136,24,Female,18000.0,0.534,7,26045.56,0
CLIENT_00137,22,Male,36772.2,0.472,11,15240.15,0
CLIENT_00138,26,Female,35319.01,0.496,18,20100.29,0
CLIENT_00139,47,Female,19864.77,0.833,24,55036.41,0
CLIENT_00140,35,Male,56709.81,0.669,31,20386.43,1
CLIENT_00141,60,Female,18000.0,0.135,11,30403.39,0
CLIENT_00142,48,Female,19002.11,0.673,12,33119.82,0
CLIENT_00143,30,Female,62021.38,0.186,27,9990.56,1
CLIENT_00144,36,Female,75011.43,0.408,0,12173.57,0
CLIENT_00145,36,Female,43478.06,0.218,5,6909.66,0
CLIENT_00146,47,Male,20652.08,0.602,7,11710.44,0
CLIENT_00147,63,Male,30888.92,0.752,3,5000.0,0
CLIENT_00148,34,Female,65160.04,0.282,4,33168.74,0
CLIENT_00149,53,Male,47328.76,0.116,24,55812.91,1
CLIENT_00150,60,Male,42979.22,0.289,21,27217.31,1
CLIENT_00151,53,Male,51260.99,0.588,27,5000.0,1
CLIENT_00152,25,Female,44246.8,0.313,22,15358.35,0
CLIENT_00153,51,Female,75914.25,0.272,3,18116.85,0
CLIENT_00154,58,Female,30017.13,0.198,3,9736.23,0
CLIENT_00155,44,Female,27720.82,0.448,20,37902.74,0
CLIENT_00156,60,Female,18000.0,0.271,1,37153.9,0
CLIENT_00157,66,Male,34200.25,0.635,6,7668.22,0
CLIENT_00158,36,Female,23160.49,0.111,15,35876.22,0
CLIENT_00159,64,Male,49361.51,0.581,16,47902.19,0
CLIENT_00160,50,Female,45418.95,0.24,19,53538.37,0
CLIENT_00161,57,Female,23418.49,0.441,22,67978.18,0
CLIENT_00162,34,Male,56782.79,0.279,33,11470.11,1
CLIENT_00163,53,Male,75336.26,0.628,10,67363.31,0
CLIENT_00164,28,Male,52156.77,0.806,33,19686.9,0
CLIENT_00165,43,Male,18000.0,0.784,32,16113.02,0
CLIENT_00166,49,Male,84742.62,0.517,25,29906.09,1
CLIENT_00167,23,Female,59938.47,0.42,1,16269.08,0
CLIENT_00168,63,Female,84128.37,0.705,22,30985.66,1
